room_id,host_id,host_is_superhost,property_type,room_type,neighborhood,accommodates,bedrooms,bathrooms,latitude,longitude,reviews,price,cleaning_fee,total
78651,142882,f,Apartment,Private room,Mission,1,1.0,2.0,37.75615,-122.41927,91,75.0,100.0,175.0
80394,126930,t,Apartment,Entire home/apt,Haight Ashbury,2,1.0,1.0,37.77065,-122.44252,22,140.0,100.0,240.0
81158,439589,t,Condominium,Entire home/apt,Western Addition,4,1.0,1.0,37.784929999999996,-122.44618,16,83.0,150.0,233.0
81256,305973,f,House,Private room,Excelsior,3,1.0,1.0,37.73152,-122.42546999999999,20,45.0,35.0,80.0
83257,453743,t,House,Private room,Western Addition,1,1.0,1.0,37.78528,-122.44358000000001,93,90.0,55.0,145.0
83553,127367,t,Apartment,Entire home/apt,Outer Richmond,2,0.0,1.0,37.77483,-122.50952,8,85.0,155.0,240.0
84777,463637,t,Guest suite,Entire home/apt,Castro/Upper Market,2,1.0,1.0,37.75969,-122.44445,251,85.0,60.0,145.0
87640,479857,t,Guest suite,Private room,Noe Valley,2,1.0,1.0,37.7455,-122.42898000000001,352,115.0,30.0,145.0
91957,495796,f,Apartment,Entire home/apt,Haight Ashbury,6,2.0,1.5,37.76194,-122.44928999999999,95,201.0,150.0,351.0
96383,216682,t,Apartment,Private room,Pacific Heights,1,1.0,0.0,37.79176,-122.42476,133,59.0,70.0,129.0
99094,522225,f,Apartment,Entire home/apt,Mission,4,2.0,1.0,37.76809,-122.42438999999999,380,185.0,100.0,285.0
100710,528857,f,Apartment,Entire home/apt,Mission,5,3.0,2.0,37.75629,-122.42518000000001,11,450.0,,
102951,329072,f,House,Shared room,Chinatown,1,1.0,2.5,37.792970000000004,-122.40664,6,30.0,,
105497,547669,f,House,Private room,Outer Sunset,1,1.0,1.0,37.757540000000006,-122.49852,4,85.0,85.0,170.0
106025,359813,f,Apartment,Entire home/apt,Downtown/Civic Center,2,2.0,2.0,37.78535,-122.41515,60,130.0,150.0,280.0
109883,566147,t,Guest suite,Entire home/apt,West of Twin Peaks,4,2.0,1.0,37.733270000000005,-122.46435,359,125.0,50.0,175.0
110825,568933,f,House,Entire home/apt,Bayview,4,2.0,1.0,37.71549,-122.38922,9,120.0,150.0,270.0
113211,576273,f,House,Shared room,Chinatown,1,1.0,2.5,37.79294,-122.40659,15,30.0,,
115242,582450,t,Condominium,Entire home/apt,North Beach,4,1.0,1.0,37.80591,-122.4083,9,125.0,135.0,260.0
121065,608445,f,Apartment,Entire home/apt,Western Addition,2,1.0,1.0,37.77083,-122.43109,36,200.0,150.0,350.0
126046,625762,f,Apartment,Entire home/apt,Haight Ashbury,5,3.0,1.0,37.76813,-122.44493999999999,82,150.0,125.0,275.0
128230,634277,t,Apartment,Entire home/apt,Castro/Upper Market,3,1.0,1.0,37.75887,-122.43565,151,328.0,120.0,448.0
130775,21994,t,Apartment,Private room,Haight Ashbury,2,1.0,4.0,37.766090000000005,-122.45126,11,65.0,50.0,115.0
130805,643713,t,Apartment,Entire home/apt,Mission,2,1.0,1.0,37.75586,-122.42092,86,97.0,100.0,197.0
132441,650862,t,House,Private room,Bernal Heights,2,1.0,1.0,37.739740000000005,-122.42298999999998,125,69.0,45.0,114.0
134015,657837,f,Condominium,Entire home/apt,Marina,4,2.0,1.0,37.80356,-122.42589,72,300.0,130.0,430.0
134193,658666,f,House,Entire home/apt,Inner Richmond,6,3.0,1.5,37.7806,-122.47596999999999,18,550.0,200.0,750.0
137129,639671,f,House,Entire home/apt,Inner Richmond,10,4.0,3.5,37.7879,-122.46473999999999,0,594.0,0.0,594.0
137546,672097,t,House,Private room,Bernal Heights,2,1.0,1.0,37.74708,-122.42456000000001,233,102.0,70.0,172.0
137672,673098,f,Apartment,Entire home/apt,Inner Sunset,2,1.0,1.5,37.76463,-122.47435,14,150.0,35.0,185.0
138592,648553,f,House,Entire home/apt,Noe Valley,8,4.0,2.0,37.755590000000005,-122.42953,27,1200.0,250.0,1450.0
138619,644896,f,Apartment,Entire home/apt,North Beach,3,1.0,1.0,37.79835,-122.4042,67,150.0,100.0,250.0
138772,261304,f,House,Private room,Castro/Upper Market,2,1.0,1.0,37.75823,-122.43273,64,150.0,50.0,200.0
140568,684131,t,Apartment,Private room,Bernal Heights,2,1.0,1.5,37.73874,-122.41623999999999,151,90.0,35.0,125.0
142177,656263,t,Condominium,Entire home/apt,Outer Richmond,4,2.0,1.0,37.78471,-122.48125,186,399.0,150.0,549.0
144978,216682,t,Apartment,Private room,Pacific Heights,1,1.0,0.0,37.79336,-122.42506000000002,119,56.0,70.0,126.0
147443,709325,f,Apartment,Entire home/apt,Diamond Heights,4,2.0,1.5,37.74599,-122.44532,108,230.0,195.0,425.0
148559,717236,f,Apartment,Entire home/apt,Castro/Upper Market,6,2.0,1.0,37.76787,-122.43172,19,275.0,150.0,425.0
